,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
233,400,no_priors,no_fit,char,40,SNJ,18,9,0.388
234,400,no_priors,no_fit,char,40,SNJ,18,10,0.63
235,400,no_priors,no_fit,char,40,SNJ,18,11,0.907
236,400,no_priors,no_fit,char,40,SNJ,18,12,0.416
237,400,no_priors,no_fit,char,40,SNJ,19,0,0.144
238,400,no_priors,no_fit,char,40,SNJ,19,1,0.189
239,400,no_priors,no_fit,char,40,SNJ,19,2,0.311
240,400,no_priors,no_fit,char,40,SNJ,19,3,0.332
241,400,no_priors,no_fit,char,40,SNJ,19,4,0.436
242,400,no_priors,no_fit,char,40,SNJ,19,5,0.445
243,400,no_priors,no_fit,char,40,SNJ,19,6,0.645
244,400,no_priors,no_fit,char,40,SNJ,19,7,0.532
245,400,no_priors,no_fit,char,40,SNJ,19,8,0.584
246,400,no_priors,no_fit,char,40,SNJ,19,9,0.702
247,400,no_priors,no_fit,char,40,SNJ,19,10,0.698
248,400,no_priors,no_fit,char,40,SNJ,19,11,0.578
249,400,no_priors,no_fit,char,40,SNJ,20,0,0.324
250,400,no_priors,no_fit,char,40,SNJ,20,1,0.465
251,400,no_priors,no_fit,char,40,SNJ,20,2,0.602
252,400,no_priors,no_fit,char,40,SNJ,20,3,0.72
253,400,no_priors,no_fit,char,40,SNJ,20,4,0.44
254,400,no_priors,no_fit,char,40,SNJ,20,5,0.473
255,400,no_priors,no_fit,char,40,SNJ,20,6,0.609
256,400,no_priors,no_fit,char,40,SNJ,20,7,0.758
257,400,no_priors,no_fit,char,40,SNJ,20,8,0.772
258,400,no_priors,no_fit,char,40,SNJ,20,9,0.521
259,400,no_priors,no_fit,char,40,SNJ,20,10,0.82
260,400,no_priors,no_fit,char,40,SNJ,20,11,0.96
261,400,no_priors,no_fit,char,40,SNJ,20,12,0.944
262,400,no_priors,no_fit,char,40,SNJ,21,0,0.117
263,400,no_priors,no_fit,char,40,SNJ,21,1,0.132
264,400,no_priors,no_fit,char,40,SNJ,21,2,0.173
265,400,no_priors,no_fit,char,40,SNJ,21,3,0.352
266,400,no_priors,no_fit,char,40,SNJ,21,4,0.349
267,400,no_priors,no_fit,char,40,SNJ,21,5,0.553
268,400,no_priors,no_fit,char,40,SNJ,21,6,0.731
269,400,no_priors,no_fit,char,40,SNJ,21,7,0.4
270,400,no_priors,no_fit,char,40,SNJ,21,8,0.365
271,400,no_priors,no_fit,char,40,SNJ,21,9,0.497
272,400,no_priors,no_fit,char,40,SNJ,21,10,0.553
273,400,no_priors,no_fit,char,40,SNJ,21,11,0.403
274,400,no_priors,no_fit,char,40,SNJ,21,12,0.391
275,400,no_priors,no_fit,char,40,SNJ,21,13,0.573
276,400,no_priors,no_fit,char,40,SNJ,22,0,0.953
277,400,no_priors,no_fit,char,40,SNJ,22,1,0.568
278,400,no_priors,no_fit,char,40,SNJ,22,2,0.639
279,400,no_priors,no_fit,char,40,SNJ,22,3,0.984
280,400,no_priors,no_fit,char,40,SNJ,22,4,0.63
281,400,no_priors,no_fit,char,40,SNJ,22,5,0.819
282,400,no_priors,no_fit,char,40,SNJ,22,6,0.747
283,400,no_priors,no_fit,char,40,SNJ,22,7,0.335
284,400,no_priors,no_fit,char,40,SNJ,22,8,0.396
285,400,no_priors,no_fit,char,40,SNJ,22,9,0.422
286,400,no_priors,no_fit,char,40,SNJ,22,10,0.482
287,400,no_priors,no_fit,char,40,SNJ,22,11,0.639
288,400,no_priors,no_fit,char,40,SNJ,22,12,0.39
289,400,no_priors,no_fit,char,40,SNJ,23,0,0.369
290,400,no_priors,no_fit,char,40,SNJ,23,1,0.308
291,400,no_priors,no_fit,char,40,SNJ,23,2,0.488
292,400,no_priors,no_fit,char,40,SNJ,23,3,0.577
293,400,no_priors,no_fit,char,40,SNJ,23,4,0.825
294,400,no_priors,no_fit,char,40,SNJ,23,5,0.736
295,400,no_priors,no_fit,char,40,SNJ,23,6,0.531
